celltype_leiden_res_1.0,XAGE2,XAGE3,PAGE2,IL13RA2,CTCFL,ZNF165,CCDC62,CEP55,TMEFF2,ATAD2
Activated fibroblast,0.0,0.0,0.00145985401459854,0.004379562043795621,0.0,0.00291970802919708,0.004379562043795621,0.07007299270072993,0.00291970802919708,0.2934306569343066
Cycling tumor,0.003109452736318408,0.0006218905472636816,0.0,0.0006218905472636816,0.013681592039800995,0.049129353233830844,0.0012437810945273632,0.6138059701492538,0.026119402985074626,0.6361940298507462
Fibroblast (CAF),0.0,0.0,0.0,0.038211382113821135,0.0,0.0024390243902439024,0.0008130081300813008,0.2097560975609756,0.0,0.3203252032520325
Hypoxic tumor,0.0,0.0011312217194570137,0.0005656108597285068,0.11877828054298642,0.016968325791855202,0.0005656108597285068,0.0011312217194570137,0.2403846153846154,0.011877828054298642,0.375
Myeloid (inflammatory),0.0,0.0,0.0,0.012228260869565218,0.0,0.001358695652173913,0.004076086956521739,0.25271739130434784,0.001358695652173913,0.41032608695652173
Secretory tumor,0.005765199161425576,0.0005241090146750524,0.0,0.0005241090146750524,0.0041928721174004195,0.016247379454926623,0.003668763102725367,0.12368972746331237,0.0005241090146750524,0.32075471698113206
Stromal fibroblast,0.0,0.0010582010582010583,0.0,0.0010582010582010583,0.006349206349206349,0.007407407407407408,0.005291005291005291,0.06666666666666667,0.005291005291005291,0.6201058201058202
Transitional tumor state,0.011013215859030838,0.0,0.0,0.0022026431718061676,0.02092511013215859,0.09581497797356828,0.007709251101321586,0.6299559471365639,0.0,0.7786343612334802
Tumor (IFN-response),0.0030620056136769582,0.00025516713447307985,0.00025516713447307985,0.05281959683592753,0.19724419494769074,0.007144679765246236,0.004082674151569278,0.25950497575912224,0.1357489155396785,0.3146210768053075
Tumor epithelial,0.007989347536617843,0.0,0.0,0.0022192632046160675,0.02796271637816245,0.000887705281846427,0.003550821127385708,0.16999556147359077,0.02130492676431425,0.3581890812250333
Tumor epithelial (classical),0.0017497812773403325,0.0008748906386701663,0.0,0.0,0.008748906386701663,0.05249343832020997,0.003499562554680665,0.331583552055993,0.0017497812773403325,0.7900262467191601
Tumor epithelial (mixed stromal),0.0,0.0,0.0,0.06862745098039216,0.029411764705882353,0.0,0.0,0.28431372549019607,0.0196078431372549,0.5196078431372549
Tumor epithelial (ribosomal),0.014035087719298246,0.0,0.0,0.0035087719298245615,0.010526315789473684,0.0017543859649122807,0.0035087719298245615,0.14912280701754385,0.0017543859649122807,0.30701754385964913
Tumor epithelial (stress-responsive),0.042328042328042326,0.0,0.0,0.010582010582010581,0.12169312169312169,0.015873015873015872,0.015873015873015872,0.14814814814814814,0.0,0.2328042328042328
